zip,cbsa,geo_name,rpp
60541,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60542,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60543,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60544,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60545,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60546,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60548,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60548,36837,NA,NA
60549,36837,NA,NA
60550,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60551,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60551,36837,NA,NA
60552,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60552,36837,NA,NA
60553,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60553,19940,NA,NA
60553,40300,NA,NA
60554,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60555,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60556,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60557,36837,NA,NA
60558,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60559,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60560,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60561,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60563,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60564,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60565,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60566,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60567,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60569,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60585,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60586,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60598,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60599,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60601,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60602,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60603,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60604,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60605,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60606,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60607,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60608,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60609,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60610,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60611,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
